probID,sID,probAns,answer,correct,answerAt,publishAt,questionType
8,93,C,A,FALSE,40:27.8,38:59.1,5
8,85,C,A,FALSE,40:33.5,38:59.1,5
8,79,C,D,FALSE,40:36.6,38:59.1,5
8,18,C,A,FALSE,40:39.7,38:59.1,5
8,47,C,C,TRUE,40:40.1,38:59.1,5
8,118,C,C,TRUE,40:48.6,38:59.1,5
8,106,C,C,TRUE,40:48.8,38:59.1,5
8,94,C,D,FALSE,40:49.3,38:59.1,5
8,26,C,A,FALSE,40:50.9,38:59.1,5
8,83,C,C,TRUE,40:53.6,38:59.1,5
8,29,C,A,FALSE,40:54.0,38:59.1,5
8,43,C,B,FALSE,41:05.0,38:59.1,5
8,2,C,C,TRUE,41:10.4,38:59.1,5
8,8,C,C,TRUE,41:10.7,38:59.1,5
8,42,C,B,FALSE,41:13.2,38:59.1,5
8,73,C,C,TRUE,41:14.6,38:59.1,5
8,17,C,C,TRUE,41:17.3,38:59.1,5
8,101,C,C,TRUE,41:21.6,38:59.1,5
8,95,C,B,FALSE,41:21.7,38:59.1,5
8,86,C,C,TRUE,41:22.9,38:59.1,5
8,7,C,C,TRUE,41:26.0,38:59.1,5
8,33,C,B,FALSE,41:27.8,38:59.1,5
8,5,C,C,TRUE,41:32.5,38:59.1,5
8,61,C,B,FALSE,41:35.2,38:59.1,5
8,37,C,A,FALSE,41:35.5,38:59.1,5
8,9,C,A,FALSE,41:36.7,38:59.1,5
8,76,C,C,TRUE,41:39.6,38:59.1,5
8,65,C,B,FALSE,41:41.3,38:59.1,5
8,11,C,C,TRUE,41:43.0,38:59.1,5
8,41,C,A,FALSE,41:46.6,38:59.1,5
8,13,C,A,FALSE,41:47.5,38:59.1,5
8,100,C,A,FALSE,41:52.5,38:59.1,5
8,105,C,B,FALSE,41:56.5,38:59.1,5
8,117,C,C,TRUE,41:59.0,38:59.1,5
8,87,C,C,TRUE,41:59.1,38:59.1,5
8,46,C,C,TRUE,42:01.2,38:59.1,5
8,80,C,C,TRUE,42:01.5,38:59.1,5
